nom_entreprise,type_etablissement,ville,adresse,telephone,email,site_web,note_google,nb_avis_google,contact_nom,contact_titre,linkedin_url,score,pitch_angle,sequence_email,statut_pipeline,date_scraping,source,instantly_status
"Prépa Campus | Prépa ACCÈS/Sésame, Ingénieur, Tage Mage/AST",bts_prepa,Paris,"130 bis Boulevard de Charonne, 75020 Paris, France",+33 6 19 34 46 84,yohann@prepacampus.fr,https://www.prepacampus.fr/,5,142,,,,90,appels_parents_cours,prioritaire,nouveau,2026-02-23,apify_google_maps,
KAS FORMATIONS,centre_formation_cpf,Lyon,"49 Bd Marius Vivier Merle, 69003 Lyon, France",+33 4 85 62 20 06,contact@kasformations.fr,https://kasformations.fr/,5,31,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Horizon Formations,centre_formation_cpf,Lyon,"254 Rue Vendôme, 69003 Lyon, France",+33 1 87 66 51 44,contact@horizonformations.com,https://horizonformations.com/,4.7,40,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
INMPACT Organisme de formation et coaching,centre_formation_cpf,Lyon,"33 Rue de la République, 69002 Lyon, France",+33 6 13 57 23 36,contact@inmpact.fr,https://www.inmpact.fr/,5,28,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
INSA Lyon,centre_formation_cpf,Villeurbanne,"7 Av. Jean Capelle O, 69100 Villeurbanne, France",+33 4 72 43 84 84,admiss@groupe-insa.fr,https://www.insa-lyon.fr/,4.9,16,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
EFET CRÉA,centre_formation_cpf,Paris,"1 Rue Bouvier, 75011 Paris, France",+33 1 42 71 70 16,admissions.efetstudiocrea-aix@eductive.fr,https://efet-crea.fr/,4.4,64,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Ecole d'ingénieurs - Université Paris Cité,centre_formation_cpf,Paris,"8 Pl. Paul Ricoeur, 75013 Paris, France",+33 1 57 27 65 39,angela.vasanelli@u-paris.fr,https://u-paris.fr/eidd/,4.7,17,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ABC Formation Continue - Formation à Villefranche-sur-Saône,centre_formation_cpf,Villefranche-sur-Saône,"403 Rue nationale, 69400 Villefranche-sur-Saône, France",+33 4 28 00 05 89,villefranche@abc-formationcontinue.com,https://villefranchesursaone.abc-formationcontinue.com/?utm_source=GoogleMyBusiness&utm_medium=SEO&utm_campaign=Google-My-Business-villefranchesursaone&utm_id=Google-My-Business&utm_term=Google-My-Business-villefranchesursaone&utm_content=Google-My-Business-villefranchesursaone,4.5,17,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Esupcom' Paris,centre_formation_cpf,Paris,"64 Rue du Ranelagh, 75016 Paris, France",+33 1 86 22 29 79,admissions-aix@eductive.fr,https://www.esupcom.com/,4.1,80,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Elysées Apprentissage,centre_formation_cpf,Paris,"45 Rue Linois, 75015 Paris, France",+33 1 82 73 04 83,contact@elysees-apprentissage.fr,https://www.elysees-apprentissage.fr/,4,77,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ISCG Paris,ecole_commerce,Paris,"45 Rue de Rivoli, 75001 Paris, France",+33 1 43 45 98 32,iscg@iscg.fr,http://www.iscg.fr/,4.4,98,,,,88,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
Institut Franco-Arabe - IFA,ecole_langues,Lyon,"39 Rue Rachais, 69007 Lyon, France",+33 6 14 03 10 72,contact@ifa-lyon.fr,http://www.ifa-lyon.fr/,4.7,58,,,,88,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
ADKS Avenir Paris 4ème Bilan de Compétences,bilan_competences,Paris,"56 Rue des Archives, 75004 Paris, France",+33 6 07 98 98 68,relationclients@adks.fr,https://www.adks.fr/,5,14,,,,88,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
"Opyxis Paris 20, bilan de compétences pour tous.",bilan_competences,Paris,"83 Rue Saint-Fargeau, 75020 Paris, France",+33 6 10 81 02 03,contact@opyxis.fr,https://opyxis.fr/bilan-de-competences-paris-20/,4.8,17,,,,88,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
Pôle Prépa English - Brotteaux,ecole_langues,Lyon,"6 Bd Jules Favre, 69006 Lyon, France",+33 4 78 76 79 82,info@pole-prepa.fr,https://pole-prepa.fr/cours-anglais-lyon-6-part-dieu/,4.9,82,,,,88,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
ECEMA Lyon,ecole_commerce,Lyon,"29 Av. Leclerc, 69007 Lyon, France",+33 4 72 73 06 13,dpo@collegedeparis.fr,https://www.ecema.fr/documentation/?utm_campaign=GMB+L&utm_medium=GMB&utm_source=GMB,4,92,,,,88,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
e-FORMaction,centre_formation_cpf,Lyon,"33 Quai Arloing, 69009 Lyon, France",+33 6 23 00 11 20,contact@eformaction.fr,http://www.eformaction.fr/,5,19,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ABC Formation Continue,centre_formation_cpf,Lyon,"224 Cr Lafayette, 69003 Lyon, France",+33 4 28 00 07 23,lyon@abc-formationcontinue.com,https://lyon.abc-formationcontinue.com/?utm_source=GoogleMyBusiness&utm_medium=SEO&utm_campaign=Google-My-Business-Lyon&utm_id=Google-My-Business&utm_term=Google-My-Business-Lyon&utm_content=Google-My-Business-Lyon,4.1,50,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ORSYS Formation Lyon,centre_formation_cpf,Lyon,"9 Rue des Cuirassiers, 69003 Lyon, France",+33 4 81 09 17 90,contactpresse@orsys.fr,https://www.orsys.fr/nos-centres-de-formation/lyon?utm_source=gmb&utm_medium=Pagesjaunes&utm_campaign=centreLyon,4.6,13,,,,88,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
MyPrepa - Préparation école commerce ECG (HEC ESSEC),bts_prepa,Paris,"184 Bd Saint-Germain, 75006 Paris, France",+33 1 89 20 40 40,contact@myprepa.fr,https://myprepa.fr/,4.8,71,,,,88,appels_parents_cours,prioritaire,nouveau,2026-02-23,apify_google_maps,
Stephenson Formation,bts_prepa,Paris,"48 Rue Stephenson, 75018 Paris, France",+33 1 44 92 88 88,contact@stephenson-formation.fr,https://stephenson-formation.fr/,4,141,,,,85,appels_parents_cours,prioritaire,nouveau,2026-02-23,apify_google_maps,
École Boulle,ecole_design,Paris,"9-21 Rue Pierre Bourdan, 75012 Paris, France",+33 1 44 67 69 67,webmestre@ecole-boulle.org,http://www.ecole-boulle.org/,4.2,147,,,,85,candidats_creatifs_questions,prioritaire,nouveau,2026-02-23,apify_google_maps,
École Bleue - Architecture Intérieure et métiers du design,ecole_design,Paris,"9 Rue Bernard Lecache, 75012 Paris, France",+33 1 45 89 31 32,admission@ecole-bleue.fr,https://www.ecole-bleue.fr/,4.7,49,,,,85,candidats_creatifs_questions,prioritaire,nouveau,2026-02-23,apify_google_maps,
"ECITV, École du Digital, du Web et de l'Audiovisuel en alternance",ecole_informatique,Paris,"64 Rue du Ranelagh, 75016 Paris, France",+33 1 86 22 08 99,admissions@ecitv.fr,https://www.ecitv.fr/,4.6,49,,,,85,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
ifocop - Centre de Cergy Pontoise,centre_formation_cpf,Éragny,"Allee Rosa Luxemburg, 95610 Éragny, France",+33 1 30 37 88 33,contact@gcif.fr,https://www.ifocop.fr/centre-formations/cergy-pontoise?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20cergy,3.9,104,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ECS Paris,centre_formation_cpf,Paris,"59 Boulevard Exelmans, 75016 Paris, France",+33 1 46 47 29 90,ecs-paris@mediaschool.eu,https://ecole-ecs.com/campus/paris?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=ecsparis,4.2,42,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ADKS Avenir PARIS 17eme Bilan de Compétences,bilan_competences,Paris,"98 Av. de Villiers, 75017 Paris, France",+33 6 07 98 98 68,relationclients@adks.fr,https://www.adks.fr/,5,1,,,,85,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
"EFAB Paris, l'École en immobilier",centre_formation_cpf,Paris,"8-14 Pass. de la Main d'Or, 75011 Paris, France",+33 1 42 74 54 84,admissions@eductive-toulon.fr,https://www.efab.fr/,4,29,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ESP Paris,centre_formation_cpf,Paris,"9 Rue Henri Bocquillon, 75015 Paris, France",+33 1 47 27 77 49,admissions.paris@espub.org,https://espub.org/,4.3,35,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ÉSTIAM Lyon,ecole_informatique,Lyon,"16 Rue de Montbrillant, 69003 Lyon, France",+33 1 82 83 75 00,lyon@estiam.com,https://www.estiam.education/fr/nos-campus/lyon,4.6,38,,,,85,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
IMIE Paris - École Supérieure d'Informatique,ecole_informatique,Levallois-Perret,"70 Rue Anatole France, 92300 Levallois-Perret, France",+33 1 84 78 22 17,contact@imie-paris.fr,https://www.imie-paris.fr/,4,125,,,,85,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
ib Cegos Formation informatique Lyon,ecole_informatique,Lyon,"186 Av. Thiers, 69006 Lyon, France",+33 4 72 68 60 60,votre@email.com,https://www.ib-formation.fr/agences/agence-de-lyon,4.8,41,,,,85,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
IPI Lyon - École d'informatique,ecole_informatique,Lyon,"7 Rue Jean-Marie Leclair, 69009 Lyon, France",+33 4 51 42 11 03,ipi-admissions-internationales@igensia.com,https://www.ipi-ecoles.com/,4.5,33,,,,85,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
IPI Paris - Ecole d'informatique,ecole_informatique,Paris,"7 Rue Pierre Dupont, 75010 Paris, France",+33 1 89 71 24 59,ipi-admissions-internationales@igensia.com,https://www.ipi-ecoles.com/,4.4,166,,,,85,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
ORIENTACTION Paris 13 - Bilan de compétences,bilan_competences,Paris,"25 Rue de Tolbiac, 75013 Paris, France",+33 2 43 72 25 88,info@orientaction.com,https://www.orientaction-groupe.com/,5,2,,,,85,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
IFAD ACADEMY – Centre de bilan de compétences et d’accompagnement VAE,centre_formation_cpf,Paris,"229 Rue Saint-Honoré, 75001 Paris, France",+33 7 43 68 41 14,contact@ifadacademy.fr,https://ifadacademy.fr/,4.9,7,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
LÉA-CFI | Paris Gambetta,centre_formation_cpf,Paris,"247 Av. Gambetta, 75020 Paris, France",+33 1 40 31 46 00,contact@lea-cfi.fr,https://www.lea-cfi.fr/fr/campus-paris-gambetta,4.2,36,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Catherine Bouvier – Bilan de compétences & reconversion professionnelle – Paris 5,bilan_competences,Paris,"9 Rue de Quatrefages, 75005 Paris, France",+33 6 61 13 88 34,contact@de-mieux-en-mieux.fr,https://de-mieux-en-mieux.fr/,5,4,,,,85,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
ifocop - Centre de Paris 13,centre_formation_cpf,Paris,"58A Rue du Dessous des Berges, 75013 Paris, France",+33 1 45 83 81 29,contact@gcif.fr,https://www.ifocop.fr/centre-formations/paris-xiii/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris13,3.6,149,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Bilan de compétences et coaching : et comment !,bilan_competences,Lyon,"Cocoon Space, 21 Rue d'Algérie, 69001 Lyon, France",+33 6 61 25 48 21,info@mysite.com,http://et-comment.fr/,5,8,,,,85,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
ABC Formation Continue - Formation à Paris,centre_formation_cpf,Paris,"64 Ave Parmentier, 75011 Paris, France",+33 1 88 61 34 80,paris@abc-formationcontinue.com,https://paris.abc-formationcontinue.com/?utm_source=Google+my+business+Paris&utm_medium=SEO+&utm_campaign=Google+my+business+Paris,5,1,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Cohérences - Organisme de Formation Continue Paris,centre_formation_cpf,Paris,"52 Bd de Sébastopol, 75003 Paris, France",+33 1 89 86 90 14,contact@coherences.net,https://coherences.net/,5,1,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Plug n' Play Music School,ecole_musique,Lyon,"49 Rue de la Thibaudière, 69007 Lyon, France",+33 6 52 95 39 90,contact@plugnplaymusicschool.com,http://plugnplaymusicschool.com/,4.7,25,,,,85,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,apify_google_maps,
École Conte Lyon,centre_formation_cpf,Lyon,"29 Av. Leclerc, 69007 Lyon, France",+33 4 28 29 25 70,info@ecole-conte.com,https://www.ecole-conte.com/lecole/nos-campus/lyon/?utm_campaign=GMB+L&utm_medium=GMB&utm_source=GMB,5,1,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
BeSt École de Musique Paris,ecole_musique,Paris,"11 Rue du Croissant, 75002 Paris, France",+33 6 64 93 22 87,info@bestecoledemusique.com,http://www.bestecoledemusique.com/,5,21,,,,85,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,apify_google_maps,
IMEP Paris College of Music,ecole_musique,Paris,"7 Rue Emile Dubois, 75014 Paris, France",+33 1 46 04 90 87,info@imep.pro,https://www.imep.pro/,4.8,27,,,,85,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,apify_google_maps,
L'American School of Modern Music,ecole_musique,Paris,"117 Rue de la Croix Nivert, 75015 Paris, France",+33 1 71 06 34 58,info@asmm.fr,https://www.asmm.fr/,4.5,40,,,,85,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,apify_google_maps,
All Four Music School - cours de musique anglais / francais au centre de Paris,ecole_musique,Paris,"82 Rue du Faubourg Saint-Martin, 75010 Paris, France",+33 6 33 25 22 56,info@allfourmusicschool.com,https://allfourmusicschool.com/,4.9,43,,,,85,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,apify_google_maps,
La Prépa Autrement,bts_prepa,Paris,"8 Rue du Commandant Schloesing, 75116 Paris, France",+33 1 47 04 10 73,contact@la-prepa-autrement.com,https://www.prepa-autrement.com/,4.9,35,,,,85,appels_parents_cours,prioritaire,nouveau,2026-02-23,apify_google_maps,
CPE Lyon Formation Continue,centre_formation_cpf,Lyon,"41 Rue Garibaldi, 69006 Lyon, France",+33 4 72 32 50 60,contact@cpe-formation.fr,http://www.cpe-formation.fr/,5,9,,,,85,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ESTBB - L'École d'Ingénieurs en Biotechnologies de l'UCLy,ecole_ingenieur,Lyon,"10 place des archives, 69002 Lyon, France",+33 4 72 32 51 98,estbb-admissions@univ-catholyon.fr,https://www.estbb.fr/,4,13,,,,83,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
IGENSIA Alternance (Lyon),centre_formation_cpf,Lyon,"47 Rue du Sergent Michel Berthet, 69009 Lyon, France",+33 4 72 85 71 11,alternance-paris@igensia.com,https://www.igensia-alternance.fr/,3.9,77,,,,83,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
GRETA CFA Lyon Métropole,centre_formation_cpf,Lyon,"41 Rue Antoine Lumière, 69008 Lyon, France",+33 4 78 78 84 84,contact.greta.lyonmetropole@ac-lyon.fr,https://greta-cfa.ac-lyon.fr/greta/greta-cfa-lyon-metropole,3.6,90,,,,83,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ESIPE - École Supérieure d'Ingénieurs Paris-Est Marne-la-Vallée,ecole_ingenieur,Champs-sur-Marne,"5 Bd Descartes, 77420 Champs-sur-Marne, France",+33 1 60 95 76 68,contact.esipe@u-pem.fr,http://esipe.u-pem.fr/,4.4,17,,,,83,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
École W - Université Paris-Panthéon-Assas,centre_formation_cpf,Paris,"210 Rue du Faubourg Saint-Antoine, 75012 Paris, France",+33 1 44 09 42 00,contact@ecolew.com,http://www.ecolew.com/,4.3,18,,,,83,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
EcoLearn,centre_formation_cpf,Paris,"61 Rue de Lyon, 75012 Paris, France",,contact@ecolearn.com,https://ecolearn.com/,4.9,68,,,,83,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
"IPSSI Lyon - école informatique, cybersécurité",ecole_informatique,Lyon,"10 Rue des Cuirassiers, 69003 Lyon, France",+33 4 26 46 48 66,contact@eocle-ipssi.com,https://ecole-ipssi.com/ecole-informatique-lyon/?utm_source=gbusiness&utm_medium=smo&utm_campaign=BRAND_pres_lyn,4.5,11,,,,83,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
Lyon-langues,ecole_langues,Lyon,"48 Rue Quivogne, 69002 Lyon, France",+33 4 78 72 24 81,nom@domaine.com,https://lyon-langues.com/,4.7,12,,,,83,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
Pro SAP Formations Paris,bts_prepa,Paris,"108bis Av. de Flandre, 75019 Paris, France",+33 1 77 37 26 00,contact@pro-sap.fr,http://www.pro-sap.fr/pro-sap-formations-paris/,4.2,74,,,,83,appels_parents_cours,prioritaire,nouveau,2026-02-23,apify_google_maps,
Yamaha Music School Lyon,ecole_musique,Lyon,"Centre d'affaire Benoit, 69 Rue Gorge de Loup, 69009 Lyon, France",+33 6 77 06 30 12,contact@yamaha-music-point-lyon.com,https://www.yamaha-music-point-lyon.com/,5,16,,,,83,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,apify_google_maps,
Rymea - Ecole d'éducation musicale Willems,ecole_musique,Lyon,"46 Rue Bugeaud, 69006 Lyon, France",+33 4 78 52 25 88,contact@rymea.fr,https://www.rymea.fr/,5,10,,,,83,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,apify_google_maps,
ORIENTACTION,bilan_competences,Lyon,,+33 2 43 72 25 88,info@orientaction.com,https://cabinets-partenaires.orientaction-groupe.com/117-orientaction-brignais-est?utm_source=gmb,,,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
Wiplay Music,ecole_musique,Lyon,,+33 9 74 04 20 43,contact@wiplaymusic.com,https://www.wiplaymusic.com/cours-de-musique-et-chant-a-lyon?utm_campaign=7288604-Permanent%20-%20GMB&utm_source=google_my_business&utm_medium=organic&utm_content=gmb_lyon_confluence,,,,,,83,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
The American Conservatory of Paris,ecole_musique,Paris,,+33 6 37 86 04 98,admissions@americanconservatoryofparis.com,https://americanconservatoryofparis.com/,,,,,,83,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
Ecole Des Musiques Méditerranéennes PARIS,ecole_musique,Paris,,+33 1 48 56 19 79,contact@emm-paris.com,http://emmparis.fr/,,,,,,83,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
EKP - École de Kinésithérapie de Paris,ecole_sante,Paris,,+33 1 43 45 10 50,ecole.kinesitherapie.paris@ekp.fr,https://www.ekp.fr/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
IGENSIA Alternance (Paris),bts_prepa,Nanterre,,+33 1 89 71 24 52,alternance-lyon@igensia.com,https://www.igensia-alternance.fr/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
CFA numiA,centre_formation_cpf,Paris,,+33 1 76 91 59 13,contact@cfa-numia.fr,http://www.cfa-numia.fr/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
Polytech Lyon,ecole_informatique,Villeurbanne,,+33 4 26 23 71 42,epul.rh@univ-lyon1.fr,http://polytech.univ-lyon1.fr/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
CFA INSTA,bts_prepa,Paris,,+33 1 43 41 72 50,contact@cfa-insta.fr,http://cfa-insta.fr/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
Lycée technologique public Duperré - HESAM Université,ecole_design,Paris,,+33 1 42 78 59 09,contact@duperre.org,https://duperre.org/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
Itecom Art design,ecole_design,Paris,,+33 1 58 62 51 51,contact@itecom-artdesign.com,http://www.itecom-artdesign.com/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
ISEG Paris,centre_formation_cpf,Paris,,+33 1 84 07 41 10,api.isg@ionis-group.com,https://www.iseg.fr/ecole-communication-paris/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
École de communication Paris - ESP Paris (rue Henri Bocquillon),ecole_communication,Paris,,+33 1 47 27 77 49,contact.toulouse@espub.org,https://espub.org/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
CESACOM - École de Communication Paris,ecole_communication,Paris,,+33 1 83 64 75 22,nantes@cesacom.fr,https://www.cesacom.fr/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
École technique supérieure du laboratoire,bts_prepa,Paris,,+33 1 45 83 76 34,mail@etsl.fr,http://www.etsl.fr/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
WebTech Institute,ecole_informatique,Lyon,,+33 4 78 79 11 07,admission.lyon@next-u.fr,https://webtech.institute/les-campus/une-ecole-dinformatique-a-lyon/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
ISITECH,ecole_informatique,Lyon,,+33 4 27 18 14 40,conseiller-lyon@ecole-isitech.fr,http://www.ecole-isitech.fr/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
ILCF - Institut de Langue et de Culture Françaises - UCLy,ecole_langues,Lyon,,+33 4 72 32 50 53,web@univ-catholyon.fr,http://www.ilcf.net/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
École de Musique Le son de l'horizon,ecole_musique,Lyon,,+33 9 50 75 67 57,leson.lyon@free.fr,https://www.association-horizons.com/musique/,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
"École de musique Wiplay Paris Centre | Cours de piano, guitare, chant...",ecole_musique,Paris,,+33 9 74 04 20 43,contact@wiplaymusic.com,https://www.wiplaymusic.com/cours-de-musique-et-chant-a-paris?utm_campaign=7288604-Permanent%20-%20GMB&utm_source=google_my_business&utm_medium=organic&utm_content=gmb_paris_centre,,,,,,80,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_gmaps,not_imported
I.T.I.I Institut des Techniques d'Ingénieurs de l'Industrie,ecole_informatique,Lyon,,+33 4 78 77 07 57,contact@itii-lyon.fr,http://www.itii-lyon.fr/,,,,,,78,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
EPSI - Ecole d’ingénierie informatique - Paris,ecole_informatique,Courbevoie,,+33 1 55 90 06 30,info@epsi.fr,https://www.epsi.fr/campus/paris,,,,,,78,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
"Cours Diderot Paris - BTS, Bachelor, Master",bts_prepa,Paris,,+33 9 80 80 80 75,campus@diderot-education.com,https://www.coursdiderot.fr/,,,,,,78,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
Académie Musicale Crescendo,ecole_musique,Lyon,,+33 4 37 65 77 60,contact@amclyon.fr,https://www.amclyon.fr/,,,,,,78,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
École Camondo - Architecture d'intérieur et Design,ecole_design,Paris,,+33 1 43 35 44 28,info@ecolecamondo.fr,http://www.ecolecamondo.fr/,,,,,,75,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
Paris College of Art,ecole_design,Paris,,+33 1 45 77 39 66,contact@paris.edu,http://www.paris.edu/,,,,,,75,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
G. TECH Paris : école Informatique à Paris,ecole_informatique,Paris,,+33 4 28 29 81 03,contact@gamingcampus.fr,https://gaming.tech/,,,,,,75,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
"ICMD, Institut de Communication & Marketing Digital à Paris",ecole_informatique,Paris,,+33 1 84 17 60 55,admission@icmd.fr,http://www.icmd.fr/,,,,,,73,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
C.F.A. académique de Paris,centre_formation_cpf,Paris,,+33 1 44 62 41 48,ce.cfa@ac-paris.fr,https://pia.ac-paris.fr/serail/jcms/s2_1885215/fr/accueil,,,,,,70,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
CFA IFIR,bts_prepa,Lyon,,+33 4 78 77 05 56,info@ifir.fr,https://www.ifir.fr/,,,,,,70,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
Isep,centre_formation_cpf,Paris,,+33 1 49 54 52 00,info@isep.fr,http://www.isep.fr/,,,,,,70,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
Département Informatique - IUT Lyon 1,ecole_informatique,Villeurbanne,,+33 4 72 69 21 82,iutdoua.info@univ-lyon1.fr,https://iut.univ-lyon1.fr/iut/organisation-et-contacts/informatique-la-doua,,,,,,70,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
EPSI Gorge de Loup,ecole_ingenieur,Lyon,,+33 4 72 85 38 50,info@epsi.fr,https://www.epsi.fr/,,,,,,70,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
Maestris BTS Paris,bts_prepa,Paris,,+33 1 86 22 29 80,admissions@eductive-toulon.fr,https://lc.cx/tOW4Kl,,,,,,70,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
"ASENSILE – Paris 11 – Bilan de Compétences, VAE, Coaching et Orientation Scolaire",bilan_competences,Paris,,+33 6 19 02 31 08,contact@asensile.com,https://asensile.com/agences-repertoire/paris-11/,,,,,,70,prospects_cpf_messagerie,standard,nouveau,2026-02-23,apify_gmaps,not_imported
